id;fecha;valor;facha_pago
1;2020-04-15T18:58:33;66735;2020-04-14T23:36:00
2;2020-04-15T00:54:26;25896;2020-04-15T13:00:22
3;2020-04-15T06:38:45;17222;2020-04-15T09:52:34
4;2020-04-15T06:23:53;97186;2020-04-15T10:54:48
5;2020-04-15T01:07:31;26606;2020-04-15T08:37:29
6;2020-04-15T11:30:47;87056;2020-04-15T11:35:04
7;2020-04-15T11:13:43;23235;2020-04-15T00:49:03
8;2020-04-15T15:57:48;11237;2020-04-15T06:33:03
9;2020-04-15T03:35:28;67822;2020-04-15T00:45:26
10;2020-04-15T16:12:59;99908;2020-04-14T21:01:47
